prompt,query
"What can you do?","function [e]"
"What is this chat","self [e]"
"Explain this system","self and function [e]"
"What is the purpose of this chat","self [e]"
"What can I ask","function [e]"
"Describe the data","data [e]"
"what is the dataset?","data [e]"
"What can you tell me about the model?","model [e]"
"Describe the model","model [e]"
"Tell me about the data and the model","data and model [e]"
"Explain model and data","model and data [e]"
"What are the features?","features [e]"
"Yes","followup [e]"
"Show more deatils","followup [e]"
"Tell me more","followup [e]"
"I want more info","followup [e]"
"Tell me about outdoor temperature distribution","statistic outdoor_temperature [e]"
"what is the average indoor temperature?","statistic indoor_temperature [e]"
"Maximum of past electricity","statistics past_electricity [e]"
"Show id 33","filter id 33 and show [e]"
"What are the features of the instance 50?","filter id 50 and show [e]"
"Show me data points with outdoor temperature higher than 22","filter outdoor_temperature greater than 22 and show [e]"
"what ids have past electricity less than 1000","filter past_electricity less than 1000 and show [e]"
"How many instances with indoor temperature more than 25 degrees?","filter indoor_temperature greater than 25 and countdata [e]"
"How many rows are in the dataset?","countdata [e]"
"Total number of ids","countdata [e]"
"How many instances was in that selection?","previousfilter and countdata [e]"
"How do the features interact?","interact [e]"
"What are most important features?","important all [e]"
"Features by importance","important all [e]"
"What are feature importances for id 111?","filter id 111 and important all [e]"
"What is the prediction for id 123?","filter id 123 and predict [e]"
"How do you predict the data point 20","filter id 20 and predict [e]"
"What are the predictions for rows with outdoor temperature higher than 22?","filter outdoor_temperature greater than 22 and predict [e]"
"Show predictions where indoor temperature is less than 21 degree","filter indoor_temperature less than 21 and predict [e]"
"What is predicted when past electricity is less than 2000?","filter past_electricity less than 2000 and predict [e]"
"Explain the predictions","explain features [e]"
"Why is id 33 predicted this way?","filter id 33 and explain features [e]"
"why this result for data point 200","filter id 200 and explain features [e]"
"help me understand this prediction","previousfilter and explain features [e]"
"why is that so?","previousfilter and explain features [e]"
"What are the most important features for the points with outdoor temperature higher than 25 degrees?","filter outdoor_temperature greater than 25 and explain features [e]"
